ADGroup,UserID
Domain Users,MCave-22
@ORG DMS ITB SUPPORT,MCave-22
@DLG DMS PD IIF_ReportGen_Admins,MCave-22
@DLG ITB ASD Managers,MCave-22
@DLG SW DMS DV ITB SOA,MCave-22
@DLG SW DMS PD ITB ASG,MCave-22
DLG ENT VMWare View,MCave-22
FP DMS Devs,MCave-22
DLG ENT CommVault TMS Administrators,MCave-22
DLG ENT PWM,MCave-22
DLG DMS Devs,MCave-22
DLG ENT VMWare View Users,MCave-22
DLG ENT VMWare SW Filezilla,MCave-22
G_TEAM_AppServices,MCave-22
DLG ENT VMWare SW Office 2013,MCave-22
DLG ENT VMWare SW Visio 2013,MCave-22
DLG ENT VMWare SW Project 2013,MCave-22
DLG ENT CO VDI Desktop Users,MCave-22
DLG ENT VMWare VDI CO Dev Desktop,MCave-22
DLG ENT VMWare SW Visual Studio,MCave-22
DLG ENT VMWare SW RDP Manager,MCave-22
DLG ENT VMWare SW MTputty,MCave-22
DLG ENT VMWare SW Chrome,MCave-22
DLG ENT VMWare SW Baregrep,MCave-22
DLG ENT VMWare SW WinSCP,MCave-22
DLG ENT Vmware VDI PII Pool Access,MCave-22
DLG SW Reflection Desktop,MCave-22
DLG ENT VMWare SW SQL Management Studio 2016,MCave-22
DLG ENT VMWare VDI GO Dev Desktop,MCave-22
@DLG DMS PD TMS Adm,MCave-22
@DLG DMS GPO Link,MCave-22
G-EDD-USERS,MCave-22
@DLG ENT ShrPt Read,MCave-22
@FP ITB ISD Users,MCave-22
@DLG SW Attachmate,MCave-22
@FP ITB Staff,MCave-22
@DLG ITB Desktop Admins,MCave-22
@DLG ENT Desktop Admin,MCave-22
@DLG SQL RS DMS BRS Developers,MCave-22
G-ITB-USERS,MCave-22
@DLG ITB Users,MCave-22
@DLG DMS Desktop Admin,MCave-22
@FP ITB ENTHOME1 Users,MCave-22
@DLG DMS PD Service Accounts,MCave-22
@FP DMS Share,MCave-22
@FP DMS CORE TEAM,MCave-22
@FP ITB DPD Staff,MCave-22
@FP ITB ISMDLibPROJ,MCave-22
@DLG SW ENT Office 2010,MCave-22
@FP ITB ISMDLibrary,MCave-22
@DLG DMS PD Application Support,MCave-22
@FP ITB W2000,MCave-22
@DLG SQL RS FSET Developers,MCave-22
@DLG DMS Join Workstation,MCave-22
@DLG DMS Server Admin,MCave-22
@DLG DMS Join Server,MCave-22
@DLG DMS SMS Reports PD Application Support,MCave-22
@DLG SW ENT HP ITSMA,MCave-22
DLG DMS Desktop Admins,MCave-22
Domain Users,MCave
DLG SW ENT Visio 2013,MCave
DLG ENT PWM,MCave
DLG ITB MBX IMS Alerts,MCave
DLG ENT VMWare Console User DMS,MCave
DLG DMS RemoteDesktop,MCave
DLG ENT VMWare View Users,MCave
DLG ENT VMWare SW Filezilla,MCave
DLG ENT VMWare SW Office 2013,MCave
DLG ENT VMWare SW SQL Management Studio 2016,MCave
DLG ENT VMWare SW Visio 2013,MCave
DLG ENT VMWare SW Project 2013,MCave
DLG ENT CO VDI Desktop Users,MCave
DLG ENT Outlook 2013 Cached,MCave
DLG SW ENT Project 2013,MCave
DLG ENT VMWare VDI CO Dev Desktop,MCave
DLG ENT VMWare SW RDP Manager,MCave
DLG ENT VMWare SW MTputty,MCave
DLG ENT VMWare SW Chrome,MCave
DLG ENT VMWare SW Baregrep,MCave
DLG ENT VMWare SW WinSCP,MCave
DLG ENT Outlook 2013 PST ReadOnly,MCave
DLG SW ENT Adobe Acrobat,MCave
DLG ENT Vmware VDI PII Pool Access,MCave
DLG SW Reflection Desktop,MCave
DLG ENT VPN SmartCard Only,MCave
DLG ENT VMWare VDI GO Dev Desktop,MCave
DLG ENT GO VDI PII Pool Users,MCave
DLG ENT GO VDI NonProd Pool Users,MCave
DLG ENT VMWare SW Visual Studio,MCave
DLG ADM MBX DIMC DMS Image Cash Letter,MCave
DLG ENT Mobile Access Enterprise,MCave
DLG ENT VMWare View,MCave
G-EDD-USERS,MCave
@DLG ENT ShrPt Read,MCave
@FP ITB ISD Users,MCave
@DLG SW Attachmate,MCave
@FP ITB Staff,MCave
DLG ADM MBX DIMC BDO,MCave
@DLG SQL RS DMS BRS Developers,MCave
