"ServerName","Service","StartMode","State"
"DGVMAPPFSTPD01","FSET Validation Service 5","Auto","Running"
"DGVMAPPFSTPD01","FSET Validation Service 6","Auto","Running"
"DGVMAPPFSTPD01","FSET Validation Service 7","Auto","Running"
"DGVMAUXIDXPD01","iIDXDX01(PROD50)IQDX1","Manual","Running"
"DGVMAUXIDXPD01","iIDXDX02(PROD50)IQDX1","Manual","Running"
"DGVMAUXIDXPD01","iIDXDX03(PROD50)IQDX1","Manual","Running"
"DGVMAUXIDXPD01","iIDXID01(PROD50)IQDX1","Manual","Running"
"DGVMAUXIDXPD01","iIDXID02(PROD50)IQDX1","Manual","Running"
"DGVMAUXIDXPD01","iIDXID03(PROD50)IQDX1","Manual","Running"
"DGVMAUXIDXPD01","iIDXID04(PROD50)IQDX1","Manual","Running"
"DGVMAUXIDXPD01","iIDXID05(PROD50)IQDX1","Manual","Running"
"DGVMAUXIDXPD01","iNetDisp-5.0","Auto","Running"
"DGVMAUXIDXPD01","iOCR(PROD50)IQDX1","Manual","Running"
"DGVMAUXIDXPD02","iIDXDX01(PROD50)IQDX2","Manual","Running"
"DGVMAUXIDXPD02","iIDXDX02(PROD50)IQDX2","Manual","Running"
"DGVMAUXIDXPD02","iIDXDX03(PROD50)IQDX2","Manual","Running"
"DGVMAUXIDXPD02","iIDXID01(PROD50)IQDX2","Manual","Running"
"DGVMAUXIDXPD02","iIDXID02(PROD50)IQDX2","Manual","Running"
"DGVMAUXIDXPD02","iIDXID03(PROD50)IQDX2","Manual","Running"
"DGVMAUXIDXPD02","iIDXID04(PROD50)IQDX2","Manual","Running"
"DGVMAUXIDXPD02","iIDXID05(PROD50)IQDX2","Manual","Running"
"DGVMAUXIDXPD02","iNetDisp-5.0","Auto","Running"
"DGVMAUXIDXPD02","iOCR(PROD50)IQDX2","Manual","Running"
"DGVMBCASPD01","UnisysCASManager(BSTOR01)","Auto","Running"
"DGVMBCASPD01","UnisysCASManager(BSTOR02)","Auto","Running"
"DGVMBCASPD01","UnisysCASManager(BSTOR03)","Auto","Running"
"DGVMBCASPD01","UnisysCASManager(BSTOR04)","Auto","Running"
"DGVMBDOMPD01","UnisysIndexManager(BDOM01)","Manual","Running"
"DGVMBDOMPD01","UnisysKernel(BDOM01)","Manual","Running"
"DGVMBDOMPD01","UnisysLocationManager(BDOM01)","Manual","Running"
"DGVMBDOMPD01","UnisysObjectManager(BDOM01)","Manual","Running"
"DGVMBDOMPD01","UnisysRouteEngine(BDOM01)","Manual","Running"
"DGVMBDOMPD01","UnisysSecurityManager(BDOM01)","Manual","Running"
"DGVMBDOMPD01","UnisysTransferManager(BDOM01)","Manual","Running"
"DGVMBDOMPD01","UnisysUpdateUtility","Auto","Running"
"DGVMBIMAGEPD01","UnisysKernel(BIMAGE01)","Manual","Running"
"DGVMBIMAGEPD01","UnisysObjectManager(BIMAGE01)","Manual","Running"
"DGVMBIMAGEPD01","UnisysRouteEngine(BIMAGE01)","Manual","Running"
"DGVMBIMAGEPD01","UnisysTransferManager(BIMAGE01)","Manual","Running"
"DGVMBIMAGEPD02","UnisysKernel(BIMAGE02)","Manual","Running"
"DGVMBIMAGEPD02","UnisysObjectManager(BIMAGE02)","Manual","Running"
"DGVMBIMAGEPD02","UnisysRouteEngine(BIMAGE02)","Manual","Running"
"DGVMBIMAGEPD02","UnisysTransferManager(BIMAGE02)","Manual","Running"
"DGVMBIMAGEPD03","UnisysKernel(BIMAGE03)","Manual","Running"
"DGVMBIMAGEPD03","UnisysObjectManager(BIMAGE03)","Manual","Running"
"DGVMBIMAGEPD03","UnisysRouteEngine(BIMAGE03)","Manual","Running"
"DGVMBIMAGEPD03","UnisysTransferManager(BIMAGE03)","Manual","Running"
"DGVMBIMAGEPD04","UnisysKernel(BIMAGE04)","Manual","Running"
"DGVMBIMAGEPD04","UnisysObjectManager(BIMAGE04)","Manual","Running"
"DGVMBIMAGEPD04","UnisysRouteEngine(BIMAGE04)","Manual","Running"
"DGVMBIMAGEPD04","UnisysTransferManager(BIMAGE04)","Manual","Running"
"DGVMBRBEPD01","EDD.DMS.RBEACKService","Auto","Running"
"DGVMBRBEPD01","UnisysDocgen","Manual","Running"
"DGVMBRBEPD01","UnisysRbe","Manual","Running"
"DGVMBRBEPD02","EDD.DMS.RBEACKService","Auto","Running"
"DGVMBRBEPD02","UnisysDocgen","Manual","Running"
"DGVMBRBEPD02","UnisysRbe","Manual","Running"
"DGVMBRBEPD03","EDD.DMS.RBEACKService","Auto","Running"
"DGVMBRBEPD03","UnisysDocgen","Manual","Running"
"DGVMBRBEPD03","UnisysRbe","Manual","Running"
"DGVMBRBEPD04","EDD.DMS.RBEACKService","Auto","Running"
"DGVMBRBEPD04","UnisysDocgen","Manual","Running"
"DGVMBRBEPD04","UnisysRbe","Manual","Running"
"DGVMDDOMPD01","UnisysCASManager(DSTOR01)","Auto","Running"
"DGVMDDOMPD01","UnisysIndexManager(DDOM01)","Manual","Running"
"DGVMDDOMPD01","UnisysKernel(DDOM01)","Manual","Running"
"DGVMDDOMPD01","UnisysLocationManager(DDOM01)","Manual","Running"
"DGVMDDOMPD01","UnisysObjectManager(DDOM01)","Manual","Running"
"DGVMDDOMPD01","UnisysRouteEngine(DDOM01)","Manual","Running"
