"ServerName","Service","StartMode","State"
"DGVMUIIMGPD01","IQUI1(PROD50)","Manual","Running"
"DGVMUIIMGPD01","IQWM1(PROD50)","Manual","Running"
"DGVMUIIMGPD01","iFormRecog(PROD50)IQUI1","Manual","Running"
"DGVMUIIMGPD01","iImageProc(PROD50)IQUI1","Manual","Running"
"DGVMUIIMGPD01","iInjector(PROD50)IQUI1","Manual","Running"
"DGVMUIIMGPD01","iPurge(PROD50)IQUI1","Manual","Running"
"DGVMUIIMGPD01","iTransBuilder(PROD50)IQUI1","Manual","Running"
"DGVMUIIMGPD01","iXmlImport(PROD50)IQUI1","Manual","Running"
"DGVMUIIMGPD01","iDocImport1(PROD50)IQWM1","Manual","Running"
"DGVMUIIMGPD01","iDocImport2(PROD50)IQWM1","Manual","Running"
"DGVMUIIMGPD01","iFaxImport1(PROD50)IQWM1","Manual","Running"
"DGVMUIIMGPD01","iImageProc(PROD50)IQWM1","Manual","Running"
"DGVMUIIMGPD01","iPurge(PROD50)IQWM1","Manual","Running"
"DGVMUIIMGPD01","iScanXfer(PROD50)IQWM1","Manual","Running"
"DGVMUIIMGPD01","iTransBuilder(PROD50)IQWM1","Manual","Running"
"DGVMWMIMGPD01","IQUI2(PROD50)","Manual","Running"
"DGVMWMIMGPD01","IQWM2(PROD50)","Manual","Running"
"DGVMWMIMGPD01","iDocImport3(PROD50)IQWM2","Manual","Running"
"DGVMWMIMGPD01","iDocImport4(PROD50)IQWM2","Manual","Running"
"DGVMWMIMGPD01","iFaxImport2(PROD50)IQWM2","Manual","Running"
"DGVMWMIMGPD01","iFormRecog(PROD50)IQUI2","Manual","Running"
"DGVMWMIMGPD01","iImageProc(PROD50)IQUI2","Manual","Running"
"DGVMWMIMGPD01","iImageProc(PROD50)IQWM2","Manual","Running"
"DGVMWMIMGPD01","iInjector(PROD50)IQUI2","Manual","Running"
"DGVMWMIMGPD01","iPurge(PROD50)IQUI2","Manual","Running"
"DGVMWMIMGPD01","iPurge(PROD50)IQWM2","Manual","Running"
"DGVMWMIMGPD01","iScanXfer(PROD50)IQWM2","Manual","Running"
"DGVMWMIMGPD01","iTransBuilder(PROD50)IQUI2","Manual","Running"
"DGVMWMIMGPD01","iTransBuilder(PROD50)IQWM2","Manual","Running"
"DGVMWMIMGPD01","iXmlImport(PROD50)IQUI2","Manual","Running"
"DGVMUIAUXPD01","iExport(PROD50)IQUI1","Manual","Running"
"DGVMUIAUXPD01","iExport(PROD50)IQWM1","Manual","Running"
"DGVMUIAUXPD01","iExportDB(PROD50)IQUI1","Manual","Running"
"DGVMUIAUXPD01","iExportDB(PROD50)IQWM1","Manual","Running"
"DGVMUIAUXPD01","iExportINET(PROD50)IQUI1","Manual","Running"
"DGVMUIAUXPD01","iFormID(PROD50)IQWM1","Manual","Running"
"DGVMUIAUXPD01","iOCR(PROD50)IQUI1","Manual","Running"
"DGVMUIAUXPD01","iOCR(PROD50)IQWM1","Manual","Running"
"DGVMUIAUXPD01","iPostExc(PROD50)IQUI1","Manual","Running"
"DGVMUIAUXPD01","iPostOCR(PROD50)IQUI1","Manual","Running"
"DGVMUIAUXPD01","iPostProc(PROD50)IQWM1","Manual","Running"
"DGVMUIAUXPD01","iPreQC(PROD50)IQUI1","Manual","Running"
"DGVMUIAUXPD01","iPreQC(PROD50)IQWM1","Manual","Running"
"DGVMUIAUXPD01","iStatGen(PROD50)IQUI1","Manual","Running"
"DGVMUIAUXPD01","iStatGen(PROD50)IQWM1","Manual","Running"
"DGVMWMAUXPD01","iExport(PROD50)IQUI2","Manual","Running"
"DGVMWMAUXPD01","iExport(PROD50)IQWM2","Manual","Running"
