ServerName,Service
DGVMLVDIMGPD01,iCollate(PROD50)IQLVD1
DGVMLVDIMGPD01,iExport(PROD50)IQLVD1
DGVMLVDIMGPD01,iExport(PROD50)IQMD1
DGVMLVDIMGPD01,iImageProc(PROD50)IQLVD1
DGVMLVDIMGPD01,iImageProc(PROD50)IQMD1
DGVMLVDIMGPD01,iNetDisp-5.0
DGVMLVDIMGPD01,iPurge(PROD50)IQLVD1
DGVMLVDIMGPD01,iPurge(PROD50)IQMD1
DGVMLVDIMGPD01,IQLVD1(PROD50)
DGVMLVDIMGPD01,IQMD1(PROD50)
DGVMLVDIMGPD01,iScanXfer(PROD50)IQLVD1
DGVMLVDIMGPD01,iScanXfer(PROD50)IQMD1
DGVMLVDIMGPD01,iTransBuilder(PROD50)IQLVD1
DGVMLVDIMGPD01,iTransBuilder(PROD50)IQMD1
DGVMPFLIMGPD01,iCollate(PROD50)IQLVD2
DGVMPFLIMGPD01,iExport(PROD50)IQLVD2
DGVMPFLIMGPD01,iExport(PROD50)IQMD2
DGVMPFLIMGPD01,iImageProc(PROD50)IQLVD2
DGVMPFLIMGPD01,iImageProc(PROD50)IQMD2
DGVMPFLIMGPD01,iNetDisp-5.0
DGVMPFLIMGPD01,iPurge(PROD50)IQLVD2
DGVMPFLIMGPD01,iPurge(PROD50)IQMD2
DGVMPFLIMGPD01,IQLVD2(PROD50)
DGVMPFLIMGPD01,IQMD2(PROD50)
DGVMPFLIMGPD01,iScanXfer(PROD50)IQLVD2
DGVMPFLIMGPD01,iScanXfer(PROD50)IQMD2
DGVMPFLIMGPD01,iTransBuilder(PROD50)IQLVD2
DGVMPFLIMGPD01,iTransBuilder(PROD50)IQMD2
DGVMWMIMGPD01,iDocImport3(PROD50)IQWM2
DGVMWMIMGPD01,iDocImport4(PROD50)IQWM2
DGVMWMIMGPD01,iFaxImport2(PROD50)IQWM2
DGVMWMIMGPD01,iFormRecog(PROD50)IQUI2
DGVMWMIMGPD01,iImageProc(PROD50)IQUI2
DGVMWMIMGPD01,iImageProc(PROD50)IQWM2
DGVMWMIMGPD01,iInjector(PROD50)IQUI2
DGVMWMIMGPD01,iNetDisp-5.0
DGVMWMIMGPD01,iPurge(PROD50)IQUI2
DGVMWMIMGPD01,iPurge(PROD50)IQWM2
DGVMWMIMGPD01,IQUI2(PROD50)
DGVMWMIMGPD01,IQWM2(PROD50)
DGVMWMIMGPD01,iScanXfer(PROD50)IQWM2
DGVMWMIMGPD01,iTransBuilder(PROD50)IQUI2
DGVMWMIMGPD01,iTransBuilder(PROD50)IQWM2
DGVMWMIMGPD01,iXmlImport(PROD50)IQUI2
DGVMUIIMGPD01,iDocImport1(PROD50)IQWM1
DGVMUIIMGPD01,iDocImport2(PROD50)IQWM1
DGVMUIIMGPD01,iFaxImport1(PROD50)IQWM1
DGVMUIIMGPD01,iFormRecog(PROD50)IQUI1
DGVMUIIMGPD01,iImageProc(PROD50)IQUI1
DGVMUIIMGPD01,iImageProc(PROD50)IQWM1
DGVMUIIMGPD01,iInjector(PROD50)IQUI1
DGVMUIIMGPD01,iNetDisp-5.0
DGVMUIIMGPD01,iPurge(PROD50)IQUI1
DGVMUIIMGPD01,iPurge(PROD50)IQWM1
DGVMUIIMGPD01,IQUI1(PROD50)
DGVMUIIMGPD01,IQWM1(PROD50)
DGVMUIIMGPD01,iScanXfer(PROD50)IQWM1
DGVMUIIMGPD01,iTransBuilder(PROD50)IQUI1
DGVMUIIMGPD01,iTransBuilder(PROD50)IQWM1
DGVMUIIMGPD01,iXmlImport(PROD50)IQUI1
DGVMSDIMGPD01,iExportP3(PROD50)IQSD1
DGVMSDIMGPD01,iFaxImport1(PROD50)IQNER1
DGVMSDIMGPD01,iImageProc(PROD50)IQNER1
DGVMSDIMGPD01,iImageProc(PROD50)IQSD1
DGVMSDIMGPD01,iInjector(PROD50)IQNER1
DGVMSDIMGPD01,iNetDisp-5.0
DGVMSDIMGPD01,iPurge(PROD50)IQNER1
DGVMSDIMGPD01,iPurge(PROD50)IQSD1
DGVMSDIMGPD01,IQNER1(PROD50)
DGVMSDIMGPD01,IQSD1(PROD50)
DGVMSDIMGPD01,iScanXfer(PROD50)IQNER1
DGVMSDIMGPD01,iTransBuilder(PROD50)IQNER1
DGVMSDIMGPD01,iTransBuilderP3(PROD50)IQSD1
DGVMSDIMGPD01,iXmlImport(PROD50)IQNER1
DGVMNERIMGPD01,iExportP3(PROD50)IQSD2
DGVMNERIMGPD01,iFaxImport2(PROD50)IQNER2
DGVMNERIMGPD01,iImageProc(PROD50)IQNER2
DGVMNERIMGPD01,iImageProc(PROD50)IQSD2
DGVMNERIMGPD01,iInjector(PROD50)IQNER2
DGVMNERIMGPD01,iNetDisp-5.0
DGVMNERIMGPD01,iPurge(PROD50)IQNER2
DGVMNERIMGPD01,iPurge(PROD50)IQSD2
DGVMNERIMGPD01,IQNER2(PROD50)
DGVMNERIMGPD01,IQSD2(PROD50)
DGVMNERIMGPD01,iScanXfer(PROD50)IQNER2
DGVMNERIMGPD01,iTransBuilder(PROD50)IQNER2
DGVMNERIMGPD01,iTransBuilderP3(PROD50)IQSD2
DGVMNERIMGPD01,iXmlImport(PROD50)IQNER2
