ServerName,Service
DGVMAUXDIAPD01,iFormID(PROD50)IQDIA1
DGVMAUXDIAPD02,iFormID(PROD50)IQDIA2
DGVMAUXDIAPD02,iOCR(PROD50)IQDIA2
DGVMAUXDIAPD02,iPostExc(PROD50)IQDIA2
DGVMAUXDIAPD02,iPostOCR(PROD50)IQDIA2
DGVMAUXDIAPD02,iPreKFI(PROD50)IQDIA2
DGVMAUXDIAPD02,iPurgeDMS(PROD50)IQDIA2
DGVMAUXDIAPD02,iPurgeRBE(PROD50)IQDIA2
DGVMAUXIDXPD01,iIDXDX01(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXDX02(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXDX03(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID01(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID02(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID03(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID04(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID05(PROD50)IQDX1
DGVMAUXIDXPD01,iOCR(PROD50)IQDX1
DGVMAUXIDXPD02,iIDXDX01(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXDX02(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXDX03(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXID01(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXID03(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXID04(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXID05(PROD50)IQDX2
DGVMIMGDIAPD02,iDocImport2(PROD50)IQDIA2
DGVMIMGDIAPD02,iExportDMS(PROD50)IQDIA2
DGVMIMGDIAPD02,iExportIIF(PROD50)IQDIA2
DGVMIMGDIAPD02,iFaxImport2(PROD50)IQDIA2
DGVMIMGDIAPD02,iImageProc(PROD50)IQDIA2
DGVMIMGDIAPD02,iPreQC(PROD50)IQDIA2
DGVMIMGDIAPD02,IQDIA2(PROD50)
DGVMIMGDIAPD02,iStatGen(PROD50)IQDIA2
DGVMIMGDIAPD02,iTransBuilder(PROD50)IQDIA2
DGVMIMGIDXPD01,iChooser(PROD50)IQDX1
DGVMIMGIDXPD01,iExportData(PROD50)IQDX1
DGVMIMGIDXPD01,iExportImg(PROD50)IQDX1
DGVMIMGIDXPD01,iPostOCR(PROD50)IQDX1
DGVMIMGIDXPD01,iPreKFI(PROD50)IQDX1
DGVMIMGIDXPD01,iPreQC(PROD50)IQDX1
DGVMIMGIDXPD01,iPurge(PROD50)IQDX1
DGVMIMGIDXPD01,IQDX1(PROD50)
DGVMIMGIDXPD01,iStatGen(PROD50)IQDX1
DGVMIMGIDXPD01,iTransBuilder(PROD50)IQDX1
DGVMIMGIDXPD02,iChooser(PROD50)IQDX2
DGVMIMGIDXPD02,iExportData(PROD50)IQDX2
DGVMIMGIDXPD02,iExportImg(PROD50)IQDX2
DGVMIMGIDXPD02,iPostOCR(PROD50)IQDX2
DGVMIMGIDXPD02,iPreKFI(PROD50)IQDX2
DGVMIMGIDXPD02,iPreQC(PROD50)IQDX2
DGVMIMGIDXPD02,iPurge(PROD50)IQDX2
DGVMIMGIDXPD02,IQDX2(PROD50)
DGVMIMGIDXPD02,iStatGen(PROD50)IQDX2
DGVMIMGIDXPD02,iTransBuilder(PROD50)IQDX2
DGVMLVDAUXPD01,iOCR(PROD50)IQLVD1
DGVMLVDAUXPD01,iOCR(PROD50)IQMD1
DGVMLVDAUXPD01,iPostProc(PROD50)IQMD1
DGVMLVDAUXPD01,iPostProc1(PROD50)IQLVD1
DGVMLVDAUXPD01,iPostProc2(PROD50)IQLVD1
DGVMLVDAUXPD01,iPostProcKFI2(PROD50)IQLVD1
DGVMLVDAUXPD01,iPPBalance(PROD50)IQLVD1
DGVMLVDAUXPD01,iPreQC(PROD50)IQLVD1
DGVMLVDAUXPD01,iPreQC(PROD50)IQMD1
DGVMLVDAUXPD01,iStatGen(PROD50)IQLVD1
DGVMLVDAUXPD01,iStatGen(PROD50)IQMD1
DGVMLVDIMGPD01,iCollate(PROD50)IQLVD1
DGVMLVDIMGPD01,iExport(PROD50)IQLVD1
DGVMLVDIMGPD01,iExport(PROD50)IQMD1
DGVMLVDIMGPD01,iImageProc(PROD50)IQLVD1
DGVMLVDIMGPD01,iImageProc(PROD50)IQMD1
DGVMLVDIMGPD01,iPurge(PROD50)IQLVD1
DGVMLVDIMGPD01,iPurge(PROD50)IQMD1
DGVMLVDIMGPD01,IQLVD1(PROD50)
DGVMLVDIMGPD01,IQMD1(PROD50)
DGVMLVDIMGPD01,iScanXfer(PROD50)IQLVD1
DGVMLVDIMGPD01,iScanXfer(PROD50)IQMD1
