ServerName,Service
DGVMICRRPUPD01,Recognition2Service
DGVMIMGRPUPD01,ECSANNOTATION3
DGVMIMGRPUPD01,ImageAnnotService
DGVMIMGRPUPD01,TMSTOECSExport
DGVMAPPRPUPD01,CALEDDAudiTrailExtract
DGVMAPPRPUPD01,CommonPurgeService
DGVMAPPRPUPD01,CommonService
DGVMAPPRPUPD01,ECSExtract
DGVMAPPRPUPD01,ECSInterface
DGVMAPPRPUPD01,ECSValidation
DGVMAPPRPUPD01,EJournalService
DGVMAPPRPUPD01,ExtractService
DGVMAPPRPUPD01,FillQueueService
DGVMAPPRPUPD01,IDRFlagValidationService
DGVMAPPRPUPD01,MarkSenseService
DGVMAPPRPUPD01,OpexCollectorW
DGVMAPPRPUPD01,OpexCollectorX
DGVMAPPRPUPD01,OpexCollectorY
DGVMAPPRPUPD01,OpexCollectorZ
DGVMAPPRPUPD01,Pass1_IDRBRValidation
DGVMAPPRPUPD01,Pass1_IDRDLCValidationService
DGVMAPPRPUPD01,Pass1_IDRToTMSImportService
DGVMAPPRPUPD01,Pass2_IDRBRValidation
DGVMAPPRPUPD01,Pass2_IDRDLCValidationService
DGVMAPPRPUPD01,Pass2_IDRToTMSImportService
DGVMAPPRPUPD01,TMSToIDRExportService
DGVMAPPIBLPD04,iIBMLExport1
DGVMAPPIBLPD05,iIBMLExport1
DGVMAPPIBLPD06,iIBMLExport1
DGVMAPPIBLPD09,iIBMLExport1
