ServerName,Service
DGVMAPPENTPP01,DmsIcmServices
DGVMAPPFSTCPP01,FSET Validation Service 5
DGVMAPPFSTCPP01,FSET Validation Service 6
DGVMAPPFSTCPP01,FSET Validation Service 7
DGVMAPPFSTVPP01,FSET Validation Service 5
DGVMAPPFSTVPP01,FSET Validation Service 6
DGVMAPPFSTVPP01,FSET Validation Service 7
DGVMWEBFSTCPP01,FSET Database Service
DGVMWEBFSTCPP01,FSET File Transfer Service
DGVMWEBFSTCPP01,FSET Validation Service 1
DGVMWEBFSTCPP01,FSET Validation Service 2
DGVMWEBFSTCPP01,FSET Validation Service 3
DGVMWEBFSTCPP01,FSET Validation Service 4
DGVMWEBFSTVPP01,FSET Database Service
DGVMWEBFSTVPP01,FSET File Transfer Service
DGVMWEBFSTVPP01,FSET Validation Service 1
DGVMWEBFSTVPP01,FSET Validation Service 2
DGVMWEBFSTVPP01,FSET Validation Service 3
DGVMWEBFSTVPP01,FSET Validation Service 4
DGVMAPPIBLPP04,iibmlexport_preprod
DGVMAPPIBLPP05,iIBMLExport_PreProd
DGVMAPPIBLPP06,iIBMLExport_PP
DGVMAPPIBLPP09,iIBMLExport_PP
DGVMAPPDIAPP01,DmsIcmServices
DGVMAPPENTPP01,EDD.DMS.FileUtilityService
DGVMAPPTAXPP01,DmsIcmServices
DGVMAPPUIPP01,DmsIcmServices
DGVMBCASPP01,UnisysCASManager(TSTOR00)
DGVMBDOMPP01,UnisysIndexManager(BDOMPP)
DGVMBDOMPP01,UnisysKernel(BDOMPP)
DGVMBDOMPP01,UnisysLocationManager(BDOMPP)
DGVMBDOMPP01,UnisysObjectManager(BDOMPP)
DGVMBDOMPP01,UnisysRouteEngine(BDOMPP)
DGVMBDOMPP01,UnisysSecurityManager(BDOMPP)
DGVMBDOMPP01,UnisysTransferManager(BDOMPP)
DGVMBDOMPP01,UnisysUpdateUtility
DGVMBIMAGEPP01,UnisysKernel(BIMGPP01)
DGVMBIMAGEPP01,UnisysObjectManager(BIMGPP01)
DGVMBIMAGEPP01,UnisysRouteEngine(BIMGPP01)
DGVMBIMAGEPP01,UnisysTransferManager(BIMGPP01)
DGVMBIMAGEPP02,UnisysKernel(BIMGPP02)
DGVMBIMAGEPP02,UnisysObjectManager(BIMGPP02)
DGVMBIMAGEPP02,UnisysRouteEngine(BIMGPP02)
DGVMBIMAGEPP02,UnisysTransferManager(BIMGPP02)
DGVMDDOMPP01,UnisysCASManager(PDSTOR00)
DGVMDDOMPP01,UnisysIndexManager(DDOMPP01)
DGVMDDOMPP01,UnisysKernel(DDOMPP01)
DGVMDDOMPP01,UnisysLocationManager(DDOMPP01)
DGVMDDOMPP01,UnisysObjectManager(DDOMPP01)
DGVMDDOMPP01,UnisysRouteEngine(DDOMPP01)
DGVMDDOMPP01,UnisysSecurityManager(DDOMPP01)
DGVMDDOMPP01,UnisysTransferManager(DDOMPP01)
DGVMDDOMPP01,UnisysUpdateUtility
DGVMPDOMPP01,UnisysCASManager(PSTOR01)
DGVMPDOMPP01,UnisysIndexManager(PPDOM01)
DGVMPDOMPP01,UnisysKernel(PPDOM01)
DGVMPDOMPP01,UnisysLocationManager(PPDOM01)
DGVMPDOMPP01,UnisysObjectManager(PPDOM01)
DGVMPDOMPP01,UnisysRouteEngine(PPDOM01)
