ServerName,Service
DGVMAUXDIAPD01,iNetDisp-5.0
DGVMAUXUIAPD02,iFormID(PROD50)IQUIA2
DGVMAUXUIAPD02,iOCR(PROD50)IQUIA2
DGVMFSETIMGPD01,iExport2(PROD50)IQFSET1
DGVMFSETIMGPD01,iInjector3(PROD50)IQFSET1
DGVMFSETIMGPD01,iXmlImport2(PROD50)IQFSET1
DGVMICRRPUPD02,RecognitionService
DGVMIMGDIAPD01,iNetDisp-5.0
DGVMIMGRPUPD01,CollectorsService
DGVMIMGUIAPD01,iExtractWord(PROD50)IQUIA1
DGVMIMGUIAPD02,iExtractWord(PROD50)IQUIA2
DGVMIMGUIAPD02,iInjector(PROD50)IQUIA2
DGVMTRPTPD01,DMSIIFBOCAExtractWinService
DGVMUIAUXPD01,iNetDisp-5.0
