ServerName,Service
dgvmappentpp01,DmsIcmServices
DGVMAPPIBLPP09,iIBMLExport_PP
DGVMAPPUIPP01,DmsIcmServices
DGVMAUXPP01,iFormID(PRE_PROD50)IQDIA
DGVMAUXPP01,iFormID(PRE_PROD50)IQUIA
DGVMAUXPP01,iFormID(PRE_PROD50)IQWM
DGVMAUXPP01,iNetDisp-5.0
DGVMAUXPP01,iOCR(PRE_PROD50)IQDIA
DGVMAUXPP01,iOCR(PRE_PROD50)IQDX
DGVMAUXPP01,iOCR(PRE_PROD50)IQLVD
DGVMAUXPP01,iOCR(PRE_PROD50)IQMD
DGVMAUXPP01,iOCR(PRE_PROD50)IQNER
DGVMAUXPP01,iOCR(PRE_PROD50)IQSD
DGVMAUXPP01,iOCR(PRE_PROD50)IQUI
DGVMAUXPP01,iOCR(PRE_PROD50)IQUIA
DGVMAUXPP01,iOCR(PRE_PROD50)IQWM
DGVMICAPIMGPP01,iCollate(PRE_PROD50)IQLVD
DGVMICAPIMGPP01,iExport(PRE_PROD50)IQMD
DGVMICAPIMGPP01,iImageProc(PRE_PROD50)IQLVD
DGVMICAPIMGPP01,iImageProc(PRE_PROD50)IQMD
DGVMICAPIMGPP01,iNetDisp-5.0
DGVMICAPIMGPP01,iPostProc(PRE_PROD50)IQMD
DGVMICAPIMGPP01,iPostProc1(PRE_PROD50)IQLVD
DGVMICAPIMGPP01,iPostProc2(PRE_PROD50)IQLVD
DGVMICAPIMGPP01,iPostProcKFI2(PRE_PROD50)IQLVD
DGVMICAPIMGPP01,iPPBalance(PRE_PROD50)IQLVD
DGVMICAPIMGPP01,iPreQC(PRE_PROD50)IQLVD
DGVMICAPIMGPP01,iPreQC(PRE_PROD50)IQMD
DGVMICAPIMGPP01,iPurge(PRE_PROD50)IQLVD
DGVMICAPIMGPP01,iPurge(PRE_PROD50)IQMD
DGVMICAPIMGPP01,IQLVD(PRE_PROD50)
DGVMICAPIMGPP01,IQMD(PRE_PROD50)
DGVMICAPIMGPP01,iScanXfer(PRE_PROD50)IQLVD
DGVMICAPIMGPP01,iScanXfer(PRE_PROD50)IQMD
DGVMICAPIMGPP01,iStatGen(PRE_PROD50)IQLVD
DGVMICAPIMGPP01,iStatGen(PRE_PROD50)IQMD
DGVMICAPIMGPP01,iTransBuilder(PRE_PROD50)IQLVD
DGVMICAPIMGPP01,iTransBuilder(PRE_PROD50)IQMD
DGVMIMGIDXPP01,iChooser(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iExportData(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iExportImg(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iIDXDX01(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iIDXDX02(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iIDXDX03(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iIDXID01(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iIDXID02(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iIDXID03(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iIDXID04(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iIDXID05(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iNetDisp-5.0
DGVMIMGIDXPP01,iPostOCR(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iPreKFI(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iPreQC(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iPurge(PRE_PROD50)IQDX
DGVMIMGIDXPP01,IQDX(PRE_PROD50)
DGVMIMGIDXPP01,iStatGen(PRE_PROD50)IQDX
DGVMIMGIDXPP01,iTransBuilder(PRE_PROD50)IQDX
dgvmappentpp01,DMS_IEMSvc
dgvmappentpp01,DMSBOCAFAXWinService
dgvmappentpp01,DMSFAXACKWinService
dgvmappentpp01,DMSFAXService
dgvmappentpp01,DMSTiffsToPDFWinService
dgvmappentpp01,DMSTWCGFAXWinService
dgvmappentpp01,EDD.DMS.FileUtilityService
dgvmappentpp01,Notifier Service
DGVMAPPUIPP01,Batch Reconciliation Service v2
DGVMAPPUIPP01,DMS_IEMSvc
DGVMAPPUIPP01,EDD.DMS.SEFTWinSvc
DGVMAPPUIPP01,Notifier Service
DGVMAUXPP01,iOCR(PRE_PROD50)IQLVD3
DGVMICAPIMGPP01,iExport(PRE_PROD50)IQLVD
