ServerName,Service,StartMode,State
DGVMAPPFSTPD01,FSET Validation Service 5,,
DGVMAPPFSTPD01,FSET Validation Service 6,,
DGVMAPPFSTPD01,FSET Validation Service 7,,
DGVMAUXIDXPD01,iIDXDX01(PROD50)IQDX1,,
DGVMAUXIDXPD01,iIDXDX02(PROD50)IQDX1,,
DGVMAUXIDXPD01,iIDXDX03(PROD50)IQDX1,,
DGVMAUXIDXPD01,iIDXID01(PROD50)IQDX1,,
DGVMAUXIDXPD01,iIDXID02(PROD50)IQDX1,,
DGVMAUXIDXPD01,iIDXID03(PROD50)IQDX1,,
DGVMAUXIDXPD01,iIDXID04(PROD50)IQDX1,,
DGVMAUXIDXPD01,iIDXID05(PROD50)IQDX1,,
DGVMAUXIDXPD01,iNetDisp-5.0,,
DGVMAUXIDXPD01,iOCR(PROD50)IQDX1,,
DGVMAUXIDXPD02,iIDXDX01(PROD50)IQDX2,,
DGVMAUXIDXPD02,iIDXDX02(PROD50)IQDX2,,
DGVMAUXIDXPD02,iIDXDX03(PROD50)IQDX2,,
DGVMAUXIDXPD02,iIDXID01(PROD50)IQDX2,,
DGVMAUXIDXPD02,iIDXID02(PROD50)IQDX2,,
DGVMAUXIDXPD02,iIDXID03(PROD50)IQDX2,,
DGVMAUXIDXPD02,iIDXID04(PROD50)IQDX2,,
DGVMAUXIDXPD02,iIDXID05(PROD50)IQDX2,,
DGVMAUXIDXPD02,iNetDisp-5.0,,
DGVMAUXIDXPD02,iOCR(PROD50)IQDX2,,
DGVMBCASPD01,UnisysCASManager(BSTOR01),,
DGVMBCASPD01,UnisysCASManager(BSTOR02),,
DGVMBCASPD01,UnisysCASManager(BSTOR03),,
DGVMBCASPD01,UnisysCASManager(BSTOR04),,
DGVMBDOMPD01,UnisysIndexManager(BDOM01),,
DGVMBDOMPD01,UnisysKernel(BDOM01),,
DGVMBDOMPD01,UnisysLocationManager(BDOM01),,
DGVMBDOMPD01,UnisysObjectManager(BDOM01),,
DGVMBDOMPD01,UnisysRouteEngine(BDOM01),,
DGVMBDOMPD01,UnisysSecurityManager(BDOM01),,
DGVMBDOMPD01,UnisysTransferManager(BDOM01),,
DGVMBDOMPD01,UnisysUpdateUtility,,
DGVMBIMAGEPD01,UnisysKernel(BIMAGE01),,
DGVMBIMAGEPD01,UnisysObjectManager(BIMAGE01),,
DGVMBIMAGEPD01,UnisysRouteEngine(BIMAGE01),,
DGVMBIMAGEPD01,UnisysTransferManager(BIMAGE01),,
DGVMBIMAGEPD02,UnisysKernel(BIMAGE02),,
DGVMBIMAGEPD02,UnisysObjectManager(BIMAGE02),,
DGVMBIMAGEPD02,UnisysRouteEngine(BIMAGE02),,
DGVMBIMAGEPD02,UnisysTransferManager(BIMAGE02),,
DGVMBIMAGEPD03,UnisysKernel(BIMAGE03),,
DGVMBIMAGEPD03,UnisysObjectManager(BIMAGE03),,
DGVMBIMAGEPD03,UnisysRouteEngine(BIMAGE03),,
DGVMBIMAGEPD03,UnisysTransferManager(BIMAGE03),,
DGVMBIMAGEPD04,UnisysKernel(BIMAGE04),,
DGVMBIMAGEPD04,UnisysObjectManager(BIMAGE04),,
DGVMBIMAGEPD04,UnisysRouteEngine(BIMAGE04),,
DGVMBIMAGEPD04,UnisysTransferManager(BIMAGE04),,
DGVMBRBEPD01,EDD.DMS.RBEACKService,,
DGVMBRBEPD01,UnisysDocgen,,
DGVMBRBEPD01,UnisysRbe,,
DGVMBRBEPD02,EDD.DMS.RBEACKService,,
DGVMBRBEPD02,UnisysDocgen,,
DGVMBRBEPD02,UnisysRbe,,
DGVMBRBEPD03,EDD.DMS.RBEACKService,,
DGVMBRBEPD03,UnisysDocgen,,
DGVMBRBEPD03,UnisysRbe,,
DGVMBRBEPD04,EDD.DMS.RBEACKService,,
DGVMBRBEPD04,UnisysDocgen,,
DGVMBRBEPD04,UnisysRbe,,
DGVMDDOMPD01,UnisysCASManager(DSTOR01),,
DGVMDDOMPD01,UnisysIndexManager(DDOM01),,
DGVMDDOMPD01,UnisysKernel(DDOM01),,
DGVMDDOMPD01,UnisysLocationManager(DDOM01),,
DGVMDDOMPD01,UnisysObjectManager(DDOM01),,
DGVMDDOMPD01,UnisysRouteEngine(DDOM01),,
DGVMDDOMPD01,UnisysSecurityManager(DDOM01),,
DGVMDDOMPD01,UnisysTransferManager(DDOM01),,
DGVMDDOMPD01,UnisysUpdateUtility,,
DGVMDIEAPD01,DomainSyncService,,
DGVMDMSPD01,DMS.Storage.ArchivePurgeService,,
DGVMDRBEPD01,EDD.DMS.RBEACKService,,
DGVMDRBEPD01,UnisysDocgen,,
DGVMDRBEPD01,UnisysRbe,,
DGVMDRBEPD02,EDD.DMS.RBEACKService,,
DGVMDRBEPD02,UnisysDocgen,,
DGVMDRBEPD02,UnisysRbe,,
DGVMEXTRBEPD01,EDD.DMS.RBEACKService,,
DGVMEXTRBEPD01,UnisysDocgen,,
DGVMEXTRBEPD01,UnisysRbe,,
DGVMFSTWEBPD01,FSET Database Service,,
DGVMFSTWEBPD01,FSET File Transfer Service,,
DGVMFSTWEBPD01,FSET Validation Service 1,,
DGVMFSTWEBPD01,FSET Validation Service 2,,
DGVMFSTWEBPD01,FSET Validation Service 3,,
DGVMFSTWEBPD01,FSET Validation Service 4,,
DGVMPDOMPD01,UnisysCASManager(PSTOR01),,
DGVMPDOMPD01,UnisysIndexManager(PDOM01),,
DGVMPDOMPD01,UnisysKernel(PDOM01),,
DGVMPDOMPD01,UnisysLocationManager(PDOM01),,
DGVMPDOMPD01,UnisysObjectManager(PDOM01),,
DGVMPDOMPD01,UnisysRouteEngine(PDOM01),,
DGVMPDOMPD01,UnisysSecurityManager(PDOM01),,
DGVMPDOMPD01,UnisysTransferManager(PDOM01),,
DGVMPDOMPD01,UnisysUpdateUtility,,
DGVMPRBEPD01,EDD.DMS.RBEACKService,,
DGVMPRBEPD01,UnisysDocgen,,
DGVMPRBEPD01,UnisysRbe,,
DGVMTDOMPD01,UnisysIndexManager(IDOM01),,
DGVMTDOMPD01,UnisysKernel(IDOM01),,
DGVMTDOMPD01,UnisysLocationManager(IDOM01),,
DGVMTDOMPD01,UnisysObjectManager(IDOM01),,
DGVMTDOMPD01,UnisysRendezvousManager(IDOM01),,
DGVMTDOMPD01,UnisysRouteEngine(IDOM01),,
DGVMTDOMPD01,UnisysSecurityManager(IDOM01),,
DGVMTDOMPD01,UnisysTransferManager(IDOM01),,
DGVMTDOMPD01,UnisysUpdateUtility,,
DGVMTIMAGEPD01,UnisysKernel(IIMAGE01),,
DGVMTIMAGEPD01,UnisysObjectManager(IIMAGE01),,
DGVMTIMAGEPD01,UnisysRouteEngine(IIMAGE01),,
DGVMTIMAGEPD01,UnisysTransferManager(IIMAGE01),,
DGVMTIMAGEPD02,UnisysKernel(IIMAGE02),,
DGVMTIMAGEPD02,UnisysObjectManager(IIMAGE02),,
DGVMTIMAGEPD02,UnisysRouteEngine(IIMAGE02),,
DGVMTIMAGEPD02,UnisysTransferManager(IIMAGE02),,
DGVMTIMAGEPD03,UnisysKernel(IIMAGE03),,
DGVMTIMAGEPD03,UnisysObjectManager(IIMAGE03),,
DGVMTIMAGEPD03,UnisysRouteEngine(IIMAGE03),,
DGVMTIMAGEPD03,UnisysTransferManager(IIMAGE03),,
