ServerName,Service
DGVMBCASPP01,UnisysCASManager(TSTOR00)
DGVMBDOMPP01,UnisysIndexManager(BDOMPP)
DGVMBDOMPP01,UnisysKernel(BDOMPP)
DGVMBDOMPP01,UnisysLocationManager(BDOMPP)
DGVMBDOMPP01,UnisysObjectManager(BDOMPP)
DGVMBDOMPP01,UnisysRouteEngine(BDOMPP)
DGVMBDOMPP01,UnisysSecurityManager(BDOMPP)
DGVMBDOMPP01,UnisysTransferManager(BDOMPP)
DGVMBDOMPP01,UnisysUpdateUtility
DGVMBIMAGEPP01,UnisysKernel(BIMGPP01)
DGVMBIMAGEPP01,UnisysObjectManager(BIMGPP01)
DGVMBIMAGEPP01,UnisysRouteEngine(BIMGPP01)
DGVMBIMAGEPP01,UnisysTransferManager(BIMGPP01)
DGVMBIMAGEPP02,UnisysKernel(BIMGPP02)
DGVMBIMAGEPP02,UnisysObjectManager(BIMGPP02)
DGVMBIMAGEPP02,UnisysRouteEngine(BIMGPP02)
DGVMBIMAGEPP02,UnisysTransferManager(BIMGPP02)
DGVMBRBEPP01,EDD.DMS.RBEACKService
DGVMDDOMPP01,UnisysCASManager(PDSTOR00)
DGVMDDOMPP01,UnisysIndexManager(DDOMPP01)
DGVMDDOMPP01,UnisysKernel(DDOMPP01)
DGVMDDOMPP01,UnisysLocationManager(DDOMPP01)
DGVMDDOMPP01,UnisysObjectManager(DDOMPP01)
DGVMDDOMPP01,UnisysRouteEngine(DDOMPP01)
DGVMDDOMPP01,UnisysSecurityManager(DDOMPP01)
DGVMDDOMPP01,UnisysTransferManager(DDOMPP01)
DGVMDDOMPP01,UnisysUpdateUtility
DGVMDRBEPP01,EDD.DMS.RBEACKService
DGVMEXTRBEPP01,EDD.DMS.RBEACKService
DGVMPDOMPP01,UnisysCASManager(PSTOR01)
DGVMPDOMPP01,UnisysIndexManager(PPDOM01)
DGVMPDOMPP01,UnisysKernel(PPDOM01)
DGVMPDOMPP01,UnisysLocationManager(PPDOM01)
DGVMPDOMPP01,UnisysObjectManager(PPDOM01)
DGVMPDOMPP01,UnisysRouteEngine(PPDOM01)
DGVMPDOMPP01,UnisysSecurityManager(PPDOM01)
DGVMPDOMPP01,UnisysTransferManager(PPDOM01)
DGVMPDOMPP01,UnisysUpdateUtility
DGVMPRBEPP01,EDD.DMS.RBEACKService
DGVMPRBEPP01,UnisysDocgen
DGVMPRBEPP01,UnisysRbe
DGVMTCASPP01,UnisysCASManager(TSTOR00)
DGVMTDOMPP01,UnisysIndexManager(IDOMPP01)
DGVMTDOMPP01,UnisysKernel(IDOMPP01)
DGVMTDOMPP01,UnisysLocationManager(IDOMPP01)
DGVMTDOMPP01,UnisysObjectManager(IDOMPP01)
DGVMTDOMPP01,UnisysRendezvousManager(IDOMPP01)
DGVMTDOMPP01,UnisysRouteEngine(IDOMPP01)
DGVMTDOMPP01,UnisysSecurityManager(IDOMPP01)
DGVMTDOMPP01,UnisysTransferManager(IDOMPP01)
DGVMTDOMPP01,UnisysUpdateUtility
DGVMTIMAGEPP01,UnisysKernel(IIMGPP01)
DGVMTIMAGEPP01,UnisysObjectManager(IIMGPP01)
DGVMTIMAGEPP01,UnisysRouteEngine(IIMGPP01)
DGVMTIMAGEPP01,UnisysTransferManager(IIMGPP01)
DGVMTIMAGEPP02,UnisysKernel(IIMGPP02)
DGVMTIMAGEPP02,UnisysObjectManager(IIMGPP02)
DGVMTIMAGEPP02,UnisysRouteEngine(IIMGPP02)
DGVMTIMAGEPP02,UnisysTransferManager(IIMGPP02)
DGVMTRBEPP01,EDD.DMS.RBEACKService
