ServerName,Service
DGVMICRRPUPP01,RecognitionService
DGVMIMGRPUPP01,CollectorsService
DGVMIMGRPUPP01,ECSImageAnnot
DGVMIMGRPUPP01,ExportService
DGVMAPPRPUPP01,BridgeTMSToECS
DGVMAPPRPUPP01,CommonPurgeService
DGVMAPPRPUPP01,CommonService
DGVMAPPRPUPP01,ECSExtract
DGVMAPPRPUPP01,ECSInterface
DGVMAPPRPUPP01,ECSValidation
DGVMAPPRPUPP01,EJournalService
DGVMAPPRPUPP01,FillQueueService
DGVMAPPRPUPP01,IDRFlagValidationService
DGVMAPPRPUPP01,MarkSenseService
DGVMAPPRPUPP01,OpexCollectorServiceW
DGVMAPPRPUPP01,OpexCollectorServiceX
DGVMAPPRPUPP01,OpexCollectorServiceY
DGVMAPPRPUPP01,OpexCollectorsService
DGVMAPPRPUPP01,Pass1_IDRBRValidation
DGVMAPPRPUPP01,Pass1_IDRDLCValidationService
DGVMAPPRPUPP01,Pass1_IDRToTMSImportService
DGVMAPPRPUPP01,Pass2_IDRBRValidation
DGVMAPPRPUPP01,Pass2_IDRDLCValidationService
DGVMAPPRPUPP01,Pass2_IDRToTMSImportService
DGVMAPPRPUPP01,TMSToIDRExportService
