ServerName,Service
DGVMAPPDIAPD01,SolarWindsAgent64
DGVMAPPDIAPD02,SolarWindsAgent64
DGVMAPPENTPD01,SolarWindsAgent64
DGVMAPPENTPD02,SolarWindsAgent64
DGVMAPPENTPD03,SolarWindsAgent64
DGVMAPPFSTPD01,SolarWindsAgent64
DGVMAPPIBLPD04,SolarWindsAgent64
DGVMAPPIBLPD05,SolarWindsAgent64
DGVMAPPIBLPD06,SolarWindsAgent64
DGVMAPPIBLPD09,SolarWindsAgent64
DGVMAPPRPUPD01,SolarWindsAgent64
DGVMAPPSKIPPD01,SolarWindsAgent64
DGVMAPPTAXPD01,SolarWindsAgent64
DGVMAPPUIPD01,SolarWindsAgent64
DGVMAUXDIAPD01,SolarWindsAgent64
DGVMAUXDIAPD02,SolarWindsAgent64
DGVMAUXIDXPD01,SolarWindsAgent64
DGVMAUXIDXPD02,SolarWindsAgent64
DGVMAUXUIAPD01,SolarWindsAgent64
DGVMAUXUIAPD02,SolarWindsAgent64
DGVMBCASPD01,SolarWindsAgent64
DGVMBDOMPD01,SolarWindsAgent64
DGVMBIEAPD01,SolarWindsAgent64
DGVMBIMAGEPD01,SolarWindsAgent64
DGVMBIMAGEPD02,SolarWindsAgent64
DGVMBIMAGEPD03,SolarWindsAgent64
DGVMBIMAGEPD04,SolarWindsAgent64
DGVMBRBEPD01,SolarWindsAgent64
DGVMBRBEPD02,SolarWindsAgent64
DGVMBRBEPD03,SolarWindsAgent64
DGVMBRBEPD04,SolarWindsAgent64
DGVMBRPTPD01,SolarWindsAgent64
DGVMDDOMPD01,SolarWindsAgent64
DGVMDIEAPD01,SolarWindsAgent64
DGVMDMSPD01,SolarWindsAgent64
DGVMDOMEXTPD01 ,SolarWindsAgent64
DGVMDRBEPD01,SolarWindsAgent64
DGVMDRBEPD02,SolarWindsAgent64
DGVMECSRPUPD01,SolarWindsAgent64
DGVMENTFTPPD01,SolarWindsAgent64
DGVMENTFTPPD02,SolarWindsAgent64
DGVMENTFTPPD03,SolarWindsAgent64
DGVMENTFTPPD04,SolarWindsAgent64
DGVMEXTDOMPD01,SolarWindsAgent64
DGVMEXTIEAPD01,SolarWindsAgent64
DGVMEXTIWMPD01,SolarWindsAgent64
DGVMEXTRBEPD01,SolarWindsAgent64
DGVMFSETIMGPD01,SolarWindsAgent64
DGVMFSETIMGPD02,SolarWindsAgent64
DGVMFSTWEBPD01,SolarWindsAgent64
DGVMICRRPUPD01,SolarWindsAgent64
DGVMICRRPUPD02,SolarWindsAgent64
DGVMIMGDIAPD01,SolarWindsAgent64
DGVMIMGDIAPD02,SolarWindsAgent64
DGVMIMGIDXPD01,SolarWindsAgent64
DGVMIMGIDXPD02,SolarWindsAgent64
DGVMIMGRPUPD01,SolarWindsAgent64
DGVMIMGRPUPD02,SolarWindsAgent64
DGVMIMGUIAPD01,SolarWindsAgent64
DGVMIMGUIAPD02,SolarWindsAgent64
DGVMIWMEXTPD01,SolarWindsAgent64
DGVMLVDAUXPD01,SolarWindsAgent64
DGVMLVDIMGPD01,SolarWindsAgent64
DGVMNERAUXPD01,SolarWindsAgent64
DGVMNERIMGPD01,SolarWindsAgent64
