ServerName,Service
DGVMAPPTAXPD01,SolarWindsAgent64
DGVMAUXDIAPD01,SolarWindsAgent64
DGVMAUXUIAPD02,SolarWindsAgent64
DGVMBDOMPD01,SolarWindsAgent64
DGVMBIMAGEPD04,SolarWindsAgent64
DGVMBRBEPD01,SolarWindsAgent64
DGVMBRBEPD03,SolarWindsAgent64
DGVMBRBEPD04,SolarWindsAgent64
DGVMDDOMPD01,SolarWindsAgent64
DGVMDRBEPD02,SolarWindsAgent64
DGVMENTFTPPD01,SolarWindsAgent64
DGVMICRRPUPD01,SolarWindsAgent64
DGVMLVDAUXPD01,SolarWindsAgent64
DGVMOPSPD01,SolarWindsAgent64
DGVMPDOMPD01,SolarWindsAgent64
DGVMPFLAUXPD01,SolarWindsAgent64
DGVMPFLIMGPD01,SolarWindsAgent64
DGVMPRBEPD01,SolarWindsAgent64
DGVMSDAUXPD01,SolarWindsAgent64
DGVMSQLPD08,SolarWindsAgent64
DGVMSQLUIDV01,SolarWindsAgent64
DGVMSQLUIPD03,SolarWindsAgent64
DGVMTDOMPD01,SolarWindsAgent64
DGVMTIMAGEPD02,SolarWindsAgent64
DGVMTRBEPD01,SolarWindsAgent64
DGVMTRBEPD03,SolarWindsAgent64
DGVMTRPTPD01,SolarWindsAgent64
DGVMUIIMGPD01,SolarWindsAgent64
DGVMWEBSKIPPD01,SolarWindsAgent64
DGVMWMIMGPD01,SolarWindsAgent64
