ServerName,Service
DGVMIMGIDXPD01,IQDX1(PROD50)
DGVMIMGIDXPD02,IQDX2(PROD50)
DGVMAUXIDXPD01,iIDXDX01(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXDX02(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXDX03(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID01(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID02(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID03(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID04(PROD50)IQDX1
DGVMAUXIDXPD01,iIDXID05(PROD50)IQDX1
DGVMAUXIDXPD01,iOCR(PROD50)IQDX1
DGVMAUXIDXPD02,iIDXDX01(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXDX02(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXDX03(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXID01(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXID03(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXID04(PROD50)IQDX2
DGVMAUXIDXPD02,iIDXID05(PROD50)IQDX2
DGVMIMGIDXPD02,iChooser(PROD50)IQDX2
DGVMIMGIDXPD02,iExportData(PROD50)IQDX2
DGVMIMGIDXPD02,iExportImg(PROD50)IQDX2
DGVMIMGIDXPD02,iPostOCR(PROD50)IQDX2
DGVMIMGIDXPD02,iPreKFI(PROD50)IQDX2
DGVMIMGIDXPD02,iPreQC(PROD50)IQDX2
DGVMIMGIDXPD02,iPurge(PROD50)IQDX2
DGVMIMGIDXPD02,iStatGen(PROD50)IQDX2
DGVMIMGIDXPD02,iTransBuilder(PROD50)IQDX2
